Topic;Topic Number;Moscow Institute of Physics and Technology;Novosibirsk State University;St. Petersburg State University;Tomsk Polytechnic University;I.M. Gubkin Russian State University of Oil and Gas;Peter the Great St. Petersburg Polytechnic University;St. Petersburg National Research University of Information Technologies, Mechanics and Optics (ITMO);Tyumen State University;Tyumen State Oil and Gas University;Ufa State Petroleum Technological University;Skolkovo Institute of Science and Technology
"Planetary Waves; Run; Tsunamis";T.40971;0.005838994;0.015336731;0;0;0;0;0;0;0;0;0
"Marine Isotope Stage; Diatoms; Impact Structure";T.41920;0;0;0.057772259;0;0;0;0;0;0;0;0
"Abandoned Wells; Geothermal Energy; Williston Basin (North America)";T.51975;0;0;0;0;0;0;0;0;0;0.027598793;0
"Laser Drilling; Reservoir Rock; Specific Energy";T.57436;0;0;0;0.021621071;0.007581216;0;0;0;0.007581216;0;0
"Earth Orbital Rendezvous; History Matching; Seismic Monitoring";T.71315;0;0;0.007794549;0;0.028758712;0;0;0;0;0;0
"Cosmic Dust; Microprobe; Grain Size and Shape";T.74335;0;0.047402311;0.026549549;0;0;0;0;0;0;0;0
"Ground Motion; Seismic Hazard; Site Effect";T.813;0.028826973;0;0;0;0;0;0;0;0;0;0
"Jupiter; Magnetospheres; Saturn";T.2092;0.008662637;0;0;0;0;0;0;0;0;0;0
"Fracture Network; Solute Transport; Crystalline Rocks";T.2902;0.001856771;0;0.004574163;0;0;0;0;0;0;0;0
"Ionospherics; Total Electron Content; Earthquake Precursor";T.3874;0;0;0.010594014;0;0;0;0.002070105;0;0;0;0
"Antarctica; Mcmurdo Sound; Crustal Thickness";T.4623;0;0;0.043662879;0;0;0;0;0;0;0;0
"Magnetopause; Flux Transfer Events; Auroras";T.5445;0.003812327;0;0.019210878;0;0;0;0;0;0;0;0
"Orbit Determination; GLONASS; Ambiguity Resolution";T.5829;0;0;0;0;0;0.010973036;0;0;0;0;0
"Traveling Ionospheric Disturbances; Total Electron Content; Ionospheres";T.6452;0;0;0.004353543;0;0;0;0;0;0;0;0
"Inner Core; Core-Mantle Boundary; Geodynamo";T.7503;0.017684755;0;0.002852327;0;0;0;0;0;0;0;0
"Grainstone; Sequence Stratigraphy; Jurassic";T.9103;0;0;0;0;0;0;0;0;0.004069099;0;0
"Yukon Territory; Terrane; Continental Arc";T.9144;0;0.014979437;0;0;0;0;0;0;0;0;0
"Latent Heat Flux; Albedo; Regional Climate";T.10055;0;0.018228736;0;0;0;0;0;0;0;0;0
"Ordinary Chondrite; Meteoroids; Kamacite";T.10093;0;0.00749934;0;0;0;0;0;0;0;0;0
"Halites; Gas Storage; Caves";T.11028;0.002141216;0;0;0;0;0.002141216;0;0;0;0;0
"Subduction Zone; Tremors; San Andreas Fault";T.11466;0;0.031395286;0;0;0;0;0;0;0;0;0.016676083
"Plasmapause; Whistlers; Magnetopause";T.12924;0.008655765;0;0;0;0;0;0;0;0;0;0
"Meridional Circulation; Western Boundary Current; Mesoscale Eddy";T.13519;0;0;0.006732999;0;0;0;0;0;0;0;0
"Remanent Magnetization; Titanomagnetite; Paleointensity";T.13995;0;0;0.009222915;0;0;0;0;0;0;0;0
"Stratosphere; Volcanic Aerosol; CALIOP";T.14324;0;0;0;0.015673954;0;0;0;0;0;0;0
"Gyrofrequency; Magnetospheres; Wave-particle Interactions";T.14518;0.003101216;0;0.009441796;0;0;0;0;0;0;0;0
"Lapse; Seismic Data; Seafloor";T.14744;0;0;0;0.002141216;0;0;0;0;0.10404339;0;0
"Quasi-Biennial Oscillation; Stratosphere; Zonal Wind";T.15483;0.003563438;0;0.014206554;0;0;0;0;0;0;0;0
"Enhanced Geothermal System; Hot Dry Rock; Fracture Aperture";T.15627;0;0;0;0;0.011014851;0.021091844;0;0;0;0;0
"Falkland Islands (Malvinas); Karoo; Sea Lions";T.18564;0;0;0.019991345;0;0;0;0;0;0;0;0
"Microtremor; Site Effect; Ambient Noise";T.18808;0;0.009529815;0;0;0;0;0.011794308;0;0;0;0
"Apparent Polar Wander Path; Paleomagnetism; Laurentia";T.19139;0;0;0.019147734;0;0;0;0;0;0;0;0
"Libya; Ordovician; Hirnantian";T.19470;0;0;0.009664453;0;0.003776771;0;0;0;0;0;0
"Spinell; Hercynite; Closure Temperature";T.21408;0;0.008534972;0.015894573;0;0;0;0;0;0;0;0
"Climate Feedback; Radiative Forcing; CMIP";T.21889;0;0;0.004673543;0;0;0;0;0;0;0;0
"Earth Sciences; Document Markup Languages; Search Engines";T.22471;0;0;0.006042291;0.002532327;0;0;0;0;0;0;0
"Stylolite; Pressure Solution; Fracture Aperture";T.22964;0;0;0;0;0.003563438;0;0;0;0;0;0.003563438
"Geothermal Fields; Resource Assessment; Geysers";T.24051;0;0;0.003918994;0;0;0;0;0;0;0.003918994;0
"Enstatite; Meteoroids; Chladnite";T.25357;0;0.030952492;0;0;0;0;0;0;0;0;0
"Sedimentology; Seismic; Geophysical Logging";T.25378;0;0;0;0;0.003136771;0;0;0;0.003136771;0;0
"Crack Growth; Confining Pressure; Stress Intensity Factors";T.28409;0;0;0.014025995;0;0;0;0;0;0;0;0
"Geothermal Power Plants; Rankine Cycle; Noncondensable Gases";T.29254;0;0;0;0.008784159;0;0;0;0;0;0;0
"Microanalytical Model; Immiscible Displacement; Fingering";T.30661;0.011895427;0;0;0;0;0;0;0;0;0;0
"Seismic Monitoring; Lapse; Vertical Seismic Profile";T.30873;0;0;0;0;0;0;0;0;0;0;0.011472553
"Solid Earth; Subduction (Geology); Feldspars";T.31047;0;0.006123438;0.008954054;0;0;0;0;0;0;0;0
"Greigite; Magnetic Mineral; Ferrous Sulfide";T.31176;0;0.015246989;0;0.005056771;0;0;0;0;0;0;0
"Melt Inclusion; Olivine; Plagioclase";T.32518;0;0.040132698;0;0;0;0;0;0;0;0;0
"Sounding; Geophysical Method; Nuclear Magnetic Resonance Spectroscopy";T.33371;0;0.006910777;0;0.003172327;0;0;0;0;0;0;0
"Algeria; Seismic Hazard; Earthquakes";T.33450;0;0.011567842;0;0;0;0;0;0;0;0;0
"Gulf of California (Mexico); Calderas; Hydrothermal Systems";T.35796;0;0.020860262;0;0;0;0;0;0;0.008292327;0;0
"Meteorite Collisions; Meteoroids; Craters";T.38481;0;0;0.011486083;0;0.007296771;0;0;0;0;0;0
"Seismic Response; Synthetic Seismogram; Attribute Analysis";T.40664;0;0;0;0.016788978;0;0;0;0;0;0;0
"Olivine; Clinopyroxene; Volcanology";T.41039;0;0.029865753;0;0;0;0;0;0;0;0;0
"Beryllium Minerals; Greisen; Paragenesis";T.44346;0;0.016398994;0.016398994;0;0;0;0;0;0;0;0
"History Matching; Petrophysics; Reservoir Simulation";T.46724;0;0;0;0.006514549;0;0;0;0;0;0.006514549;0
"Permafrost; Frozen Ground; Magnetotellurics";T.47407;0;0;0.015261216;0;0;0;0.023639839;0;0;0;0
"Spherical Waves; Recording Instruments; Pulse Amplifiers";T.51034;0;0.011172327;0.011172327;0;0;0;0;0;0;0;0
"Hydrocarbon Reserve; Oil and Gas Fields; Turonian";T.53372;0;0;0;0;0;0;0;0;0;0.071543084;0
"Magma; Mantle Source; Vietnam";T.55836;0;0.043115971;0;0;0;0;0;0;0;0;0
"Ionospherics; Order Effects; GNSS";T.60299;0;0;0.02477207;0;0;0;0;0;0;0;0
"Rock Property; Hydraulic Fracturing; Proppants";T.67281;0;0;0;0.00594566;0;0;0;0;0;0.00594566;0
"Sounding; Induced Polarization; Magnetotellurics";T.73110;0;0.022897263;0;0;0;0;0;0;0;0;0
"Benzothiophene; Asphaltenes; Petroleum Products";T.78242;0;0;0;0.046019437;0;0;0;0;0;0;0
"Distillation; Natural Gas; Refinery";T.91949;0;0;0;0;0;0;0;0;0;0.065246381;0
"Indian Plate; Crustal Structure; Wenchuan Earthquake";T.935;0;0.004991506;0;0;0;0;0;0;0;0;0
"Chondrule; Meteoroids; Parent Body";T.1573;0;0;0.002247883;0;0;0;0;0;0;0;0
"Geopotential; GOCE; Gravity Field";T.1615;0;0;0.036306059;0;0;0;0;0;0;0;0
"Normal Fault; Seismotectonics; Central Italy";T.1681;0;0.00514961;0;0;0;0;0;0;0;0;0
"Mid-Ocean Ridge Basalt; Mantle Source; Pyroxenite";T.3275;0;0.008708245;0;0;0;0;0;0;0;0;0
"Central Andes; Northern Chile; Cordillera";T.3501;0;0.007378547;0;0;0;0;0;0;0;0;0
"Earthquake Rupture; Ground Motion; Source Parameters";T.3829;0;0;0;0.026413402;0;0;0;0;0;0;0.026413402
"Mylonite; Shear Zone; Dislocation Creep";T.4405;0;0;0;0.002461216;0;0;0;0;0;0;0
"GRACE; Gravity Field; Water Storage";T.4606;0;0;0.009407267;0;0;0;0;0;0;0;0
"Aeromagnetic Survey; Magnetic Anomalies; Analytic Signal";T.4984;0;0.001998994;0;0;0;0;0;0;0;0;0
"San Andreas Fault; Slip Rate; Earthquake Rupture";T.5966;0;0;0.026173837;0;0;0;0;0;0;0;0
"SH Wave; Ground Motion; Seismic Response";T.6029;0;0;0;0;0;0;0;0;0;0.002141216;0
"Volcanic Belt; Chalco; Lahar";T.6093;0;0.007329875;0;0;0;0;0;0;0;0;0
"DORIS; Satellite Laser Ranging; GNSS";T.6998;0;0;0.013059453;0;0;0;0;0;0;0;0
"Ischium; Calderas; Campanian";T.7039;0;0;0.007676107;0;0;0;0;0;0;0;0
"Agrotis; Antarctica; Deception";T.8099;0;0;0.01124304;0;0;0;0;0;0;0;0
"Seismic Data; Random Noise; Projection Onto Convex Sets";T.8179;0;0.019895044;0;0;0;0;0;0;0;0;0
"Faroe; Shetland; Continental Breakup";T.8469;0;0;0;0;0;0;0;0;0;0;0.002887883
"Anticlines; Detachment Fold; Reverse Fault";T.8862;0;0;0.003243438;0;0;0;0;0;0;0;0
"Sporadic E Layer; E Region; Ionospherics";T.9012;0;0;0.007908088;0;0;0;0;0;0;0;0
"Hispaniola; North American Plate; Dominican Republic";T.9033;0;0;0;0.00338566;0;0;0;0;0;0;0
"North Anatolian Fault; Marmara Sea; Fault Zone";T.9295;0;0.007245648;0;0;0;0;0;0;0;0;0
"Uranium Deposits; Unconformity; Nunavut";T.9757;0;0;0.003314549;0;0;0;0;0;0;0;0
"Mars; Crustal Thickness; Mars Volcanoes";T.10065;0.028612315;0;0;0;0;0;0;0;0;0;0
"Cryosat; Altimeters; Satellite Altimetry";T.11738;0;0;0.008355455;0;0;0;0;0;0;0;0
"Pyroxenes; Enstatite; Diopside";T.11859;0;0;0;0;0;0;0;0;0;0;0.006736494
"Layered Intrusion; Immiscibility; Gabbro";T.12209;0;0;0.004594549;0;0;0;0;0;0;0;0
"Oceanic Lithosphere; Seamounts; Crustal Thickness";T.12450;0;0.009153559;0;0;0;0;0;0;0;0;0
"Phlogopite; Biotite; Muscovite";T.13106;0;0.008643378;0;0;0;0;0;0;0;0;0
"Venus; Magellan Ultraviolet Astronomy Satellite; Venus Surface";T.13254;0;0.006949827;0;0;0;0;0;0;0;0;0
"Rifting; Ocean-Continent Transition; Continental Crust";T.13316;0;0;0.009250902;0;0;0;0;0;0;0;0
"Seismic Attenuation; Q Factor; Fractional Laplacian";T.13618;0;0.002141216;0;0;0;0;0;0;0;0;0
"Venezuela; Trinidad and Tobago; Paria";T.13980;0;0;0;0.00466566;0;0;0;0;0;0;0
"Koro; Subduction Zone; Miocene";T.14212;0;0;0;0;0.019849139;0;0;0;0;0;0
"Thermosphere; Atmospheric Density; Magnetic Storms";T.14368;0;0;0;0;0;0;0;0;0;0;0.002496771
"Ionospherics; Polar Caps; Magnetotails";T.14944;0.019715214;0;0;0;0;0;0;0;0;0;0
"Xenolith; Orthopyroxene; Peridotite";T.14968;0;0;0.006849718;0;0;0;0;0;0;0;0
"Gold Deposits; Cratons; Archean";T.14972;0;0;0;0;0;0;0.017156953;0;0;0;0
"Dead Sea; Sinkholes; Jordan River";T.15555;0;0.009794585;0;0;0;0;0;0;0;0;0
"Infrasound; Stratosphere; Bolides";T.15659;0.002603438;0;0;0;0;0;0;0;0;0;0
"Subduction Zone; Lower Mantle; Earthquakes";T.15913;0.003634549;0;0;0;0;0;0;0;0;0;0
"Sporadic E Layer; Mesopause; Thermosphere";T.17290;0;0;0;0.006196602;0;0;0;0;0;0;0
"Garnets; Porphyroblast; Staurolite";T.17291;0;0;0.003421216;0;0;0;0;0;0;0;0
"Microseisms; Seismographs; Seismic Noise";T.17385;0;0;0.008306784;0;0;0;0;0;0;0;0
"Antarctic Bottom Water; Polynyas; Basal Melting";T.17394;0;0.002994549;0;0;0;0;0;0;0;0;0
"Cosmogenic Radionuclide; Meteoroids; Aluminum 26";T.18694;0;0;0;0;0;0.007794549;0;0;0;0;0
"Volcanic Eruptions; IASI; Volcanology";T.18890;0;0;0;0;0;0;0.002710105;0;0;0;0
"Geodetic Network; Geodesy; Outlier Detection";T.20406;0;0;0;0.004359803;0;0;0;0;0;0;0
"In Situ Stress; Overcoring; Stress Measurement";T.20437;0;0;0;0;0;0.013757448;0;0;0;0;0
"New Caledonia; Vanuatu; Obduction";T.20515;0;0.00434566;0;0;0;0;0;0;0;0;0
"Gulf of Mexico; Gelsemium; Source Rock";T.20705;0;0;0;0;0.003741216;0;0;0;0;0;0
"Moho; Crusts; Cratons";T.21213;0;0.012282134;0;0;0;0;0;0;0;0;0
"Seismic Data; Refracted Waves; Refraction";T.23008;0;0;0;0;0.003350105;0;0;0;0;0;0
"Magnetic Storms; Auroral Electrojets; Solar Wind";T.24004;0;0;0;0;0;0;0;0;0;0;0.010763909
"Pockmark; Gas Seepage; Sidescan Sonar";T.24470;0;0;0.003563438;0;0;0;0;0;0;0;0
"Ground Motion; Seismic Hazard; Euroseistest";T.24663;0.04331461;0;0;0;0;0;0;0;0;0;0
"Landslides; Resistivity Imaging; Electrical Resistivity Tomography";T.24900;0;0;0.002496771;0;0;0;0;0;0;0;0
"Volcanoes; Magma Chamber; Upper Mantle";T.24938;0;0;0.003883438;0;0;0;0;0;0;0;0
"Garnets; Skarn; Andradite";T.25008;0;0.012984235;0;0;0;0;0;0;0;0;0
"Ionospherics; Critical Frequencies; Ionosondes";T.25200;0;0;0.049703861;0;0;0;0;0;0;0;0
"Oxygen-17; Isotope Fractionation; Ozone";T.25236;0;0;0.008079308;0;0;0;0;0;0;0;0
"Sill; Emplacement; Rock Intrusions";T.25761;0;0;0;0;0;0;0;0;0;0;0.002923438
"Deglaciation; Postglacial; Weichselian";T.26245;0;0.007311941;0;0;0;0;0;0;0;0;0
"Ionospherics; DMSP Satellite; Dayglow";T.26711;0.025957424;0;0;0;0;0;0;0;0;0;0.025957424
"Fracture Network; Outcrops; Anticlines";T.26873;0;0;0;0.004807883;0;0;0;0;0;0;0
"Lahar; Volcanoes; Debris Avalanche";T.28080;0;0.016726494;0;0;0;0;0;0;0;0;0
"Polar Cap Absorption; Riometers; Cosmic Noise";T.28750;0;0;0.015678873;0;0;0;0;0;0;0;0
"Crater Lake; Volcanoes; Hydrothermal Systems";T.29894;0;0;0.003812327;0;0;0;0;0;0;0;0
"Seismic Refraction; Geophone; Refracted Waves";T.29982;0;0;0;0;0.005127883;0;0;0;0;0;0
"Boreholes; Resistivity Imaging; Logging";T.31767;0;0;0;0;0;0;0;0;0;0.002958994;0
"Seismic Hazard; Earthquake Prediction; Scaling Laws";T.32158;0;0;0.013810624;0;0;0;0;0;0;0;0
"Gujarat Earthquake 2001; Indian Plate; Aftershock";T.32835;0;0.01053746;0;0;0;0;0;0;0;0;0
"Lamproite; Mantle Source; Subduction (Geology)";T.33222;0;0.010617581;0;0;0;0;0;0;0;0;0
"Geophone; Seismic Data; Seismographs";T.33536;0;0;0;0;0.014227967;0;0;0;0;0;0
"Stalagmite; Speleothems; Paris Basin";T.34175;0;0;0.066700672;0;0;0;0;0;0;0;0
"Mantle Upwelling; Active Fault; Volcanology";T.34412;0;0.03627304;0;0;0;0;0;0;0;0;0
"Lapse; Seismic; Geophysics";T.35126;0.00594566;0;0;0;0;0;0;0;0;0;0
"Antarctica; Gneiss; Zircon";T.36309;0;0;0.018430081;0;0;0;0;0;0;0;0
"Volcanoes; Volcanic Eruptions; Pyroclastic Flow";T.37214;0;0.010509489;0;0;0;0;0;0;0;0;0
"Earthquake Catalogue; Seismic Activity; Tides";T.37859;0;0;0;0.007510105;0;0;0;0;0;0;0
"Ferro-Manganese Alloy; Crusts; Manganese Deposits";T.39754;0;0.010923438;0;0;0;0;0;0;0;0;0
"Serpukhovian; Carboniferous; Visean";T.40365;0;0;0;0;0.007403438;0;0;0;0;0;0
"Valence; Bond Length; New Mineral";T.43400;0;0;0.01202874;0;0;0;0;0;0;0;0
"Seismic Moment; Tremors; Rockburst";T.43850;0.009643438;0;0;0;0;0;0;0;0;0;0
"Slovakia; Potential Evapotranspiration; Hydrologic Data";T.45556;0;0;0.008150105;0;0;0;0;0;0;0;0
"Massifs; Olivine; Prostaglandin E";T.45612;0;0.017175286;0;0;0;0;0;0;0;0;0
"Crevasses; Fluvial; Colorado River";T.45857;0;0;0;0;0;0;0;0;0;0.016040986;0
"Variscite; Fracture Network; Neolithic";T.48895;0;0;0;0.020274549;0;0;0;0;0;0;0
"Shipwrecks; Wreck; Seismic Survey";T.49395;0.009647544;0;0;0;0;0;0;0;0;0;0
"Field Survey; Mines; Tools";T.54881;0;0;0.028914549;0;0;0;0;0;0;0;0
"Carbonate Sediment; Pleistocene; Peneplain";T.55102;0;0.010461216;0;0;0;0;0;0;0;0;0
"Immiscible Fluids; Lithosphere; Lower Crust";T.55176;0;0.018496771;0;0;0;0;0;0;0;0;0
"Carboniferous; Devonian; Permian";T.55478;0;0;0;0;0.006123438;0;0;0;0;0;0
"Transient Heat Conduction; Boundary Element Method; Integral Domain";T.55701;0;0;0.017750105;0;0;0;0;0;0;0;0
"Ordovician; Terrane; Deeper Water";T.56947;0;0;0;0;0.018496771;0;0;0;0;0;0
"Gravimeters; Gravity Survey; Lapse";T.57469;0;0.006798994;0;0;0;0;0;0;0;0;0
"Kuril Islands; Host Rock; Alunite";T.59086;0;0;0;0.01234566;0;0;0;0;0;0;0
"Seismic; Earth Orbital Rendezvous; Well Spacing";T.59313;0;0;0;0;0;0.007794549;0;0;0;0;0
"Basin Analysis; Paleocene; Cretaceous";T.61168;0;0;0.041074549;0;0;0;0;0;0;0;0
"Phenocryst; Olivine; Enstatite";T.65820;0;0;0.024700346;0;0;0;0.024700346;0;0;0;0
"Sound Transmission; Foams; Actuators";T.67228;0;0;0.074249368;0;0;0;0;0;0;0;0
"Salvelinus Malma; Glacier Advance; Spawning Ground";T.68331;0;0;0.022196204;0;0;0;0;0;0;0;0
"Hanford; Wulfenite; New Mineral";T.70624;0;0;0.015794549;0;0;0;0;0;0;0;0
"Kerogen; Source Rock; Microfacies";T.70799;0;0;0.026958994;0;0;0;0;0;0;0;0
"Graph Search; Subsalt Imaging; Broadband Data";T.77860;0;0;0;0;0;0;0;0;0.010247883;0;0
"Ionograms; Ionospherics; Critical Frequencies";T.78295;0;0;0.028776433;0;0;0;0;0;0;0;0
"Earth Core; Electromagnetic Fields; Thunderstorms";T.85636;0;0;0;0.016398994;0;0;0;0;0;0;0
"Surface Layers; Organic Matter; Silica Nanoparticles";T.91114;0;0;0.036609718;0;0;0;0;0;0;0;0
"Ground Penetrating Radar; Washover; Sediment Core";T.93610;0;0;0.031190105;0;0;0;0;0;0;0;0
"Mountain Range; Ego; Emergency Response";T.93921;0;0;0;0;0;0;0.031936687;0;0;0;0
"Labour Allocation; Assignment Problem; Virtual";T.94302;0;0.067070793;0;0;0;0;0;0;0;0;0
"Hospital-Physician Joint Ventures; Bahrain; Compensation Programs";T.95475;0;0;0;0.018707653;0;0;0;0;0;0;0
"Density Functional; Multiphase; Constitutive Relations";T.98241;0;0;0;0;0;0;0;0;0;0;0.364523438
;;;;;;;;;;;;
